id,lineage,type,country
SRR6152881,1,test,NA
ERR768038,1.1,training,Thailand
ERR718556,1.1,training,Thailand
ERR718235,1.1,training,Thailand
ERR775779,1.1,training,Thailand
ERR751765,1.1,training,Thailand
ERR751946,1.1,training,Thailand
ERR718422,1.1,training,Thailand
ERR752159,1.1,training,Thailand
ERR768001,1.1,training,Thailand
ERR751956,1.1,training,Thailand
ERR751929,1.1,training,Thailand
ERR751915,1.1,training,Thailand
ERR752075,1.1,training,Thailand
ERR718288,1.1,training,Thailand
ERR751875,1.1,training,Thailand
ERR718374,1.1,training,Thailand
ERR775792,1.1,training,Thailand
ERR718236,1.1,training,Thailand
ERR752189,1.1,training,Thailand
ERR775800,1.1,training,Thailand
ERR775770,1.1,training,Thailand
ERR718262,1.1,training,Thailand
ERR718497,1.1,training,Thailand
SRR5709857,1.1,test,NA
SRR5709792,1.1,test,NA
ERR553088,1.2,training,NA
ERR2512840,1.2,training,United Kingdom
ERR400309,1.2,training,United Kingdom
SRR6045034,1.2,training,United Kingdom
ERR3276023,1.2,test,NA
SRR5065560,2.1,training,Vietnam
ERR552761,2.1,training,NA
SRR5065616,2.1,training,Vietnam
SRR5074068,2.1,training,Vietnam
SRR5067405,2.1,training,Vietnam
SRR5073882,2.1,training,Vietnam
SRR5073602,2.1,training,Vietnam
SRR5709748,2.1,training,Thailand
ERR718276,2.1,training,Thailand
ERR775773,2.1,training,Thailand
ERR775791,2.1,training,Thailand
SRR5710022,2.1,training,Thailand
ERR1035097,2.1,training,Vietnam
SRR5065368,2.1,training,Vietnam
SRR5067458,2.1,training,Vietnam
ERR775761,2.1,training,Thailand
ERR752262,2.1,training,Thailand
SRR5067433,2.1,training,Vietnam
SRR5709925,2.1,training,Thailand
ERR775766,2.1,training,Thailand
ERR751993,2.1,training,Thailand
SRR5709814,2.1,training,Thailand
SRR5065579,2.1,training,Vietnam
ERR2514124,2.1,training,United Kingdom
SRR5065301,2.1,training,Vietnam
SRR5065297,2.1,training,Vietnam
ERR752234,2.1,training,Thailand
ERR775784,2.1,training,Thailand
SRR5065283,2.1,training,Vietnam
SRR5074093,2.1,training,Vietnam
SRR5709824,2.1,training,Thailand
ERR768032,2.1,training,Thailand
ERR553373,2.1,training,NA
ERR2517258,2.1,training,Netherlands
SRR5709883,2.1,training,Thailand
SRR5709897,2.1,training,Thailand
SRR5709898,2.1,training,Thailand
SRR5065292,2.1,training,Vietnam
SRR5067510,2.1,training,Vietnam
SRR5065467,2.1,training,Vietnam
SRR5073710,2.1,training,Vietnam
SRR5065382,2.1,training,Vietnam
SRR5065551,2.1,training,Vietnam
SRR5073548,2.1,training,Vietnam
SRR5073761,2.1,training,Vietnam
SRR5073822,2.1,training,Vietnam
SRR6339664,2.1,training,Australia_
ERR2513708,2.1,training,United Kingdom
ERR775787,2.1,training,Thailand
SRR5065308,2.1,training,Vietnam
SRR5065294,2.1,training,Vietnam
SRR5073637,2.1,training,Vietnam
SRR5073739,2.1,training,Vietnam
SRR5074174,2.1,training,Vietnam
ERR775794,2.1,training,Thailand
SRR5709899,2.1,training,Thailand
SRR5709762,2.1,training,Thailand
SRR5710027,2.1,training,Thailand
SRR5709872,2.1,training,Thailand
SRR5709764,2.1,training,Thailand
SRR5709934,2.1,training,Thailand
SRR5709887,2.1,training,Thailand
SRR5837708,2.1,training,Thailand
SRR5074136,2.1,training,Vietnam
SRR5073838,2.1,training,Vietnam
SRR5817473,2.1,training,Australia_
SRR5067461,2.1,training,Vietnam
SRR5074054,2.1,training,Vietnam
SRR5065278,2.1,training,Vietnam
SRR5067713,2.1,training,Vietnam
SRR5065563,2.1,training,Vietnam
SRR5074182,2.1,training,Vietnam
SRR5065418,2.1,training,Vietnam
SRR5073499,2.1,training,Vietnam
SRR5073921,2.1,training,Vietnam
SRR5065487,2.1,training,Vietnam
SRR5065678,2.1,training,Vietnam
SRR5073656,2.1,training,Vietnam
SRR5067408,2.1,training,Vietnam
SRR5073883,2.1,training,Vietnam
SRR5067580,2.1,training,Vietnam
SRR5065617,2.1,training,Vietnam
SRR5073866,2.1,training,Vietnam
SRR5067642,2.1,training,Vietnam
SRR5065441,2.1,training,Vietnam
SRR5067550,2.1,training,Vietnam
SRR5065604,2.1,training,Vietnam
SRR5067683,2.1,training,Vietnam
SRR5065619,2.1,training,Vietnam
SRR5073902,2.1,training,Vietnam
SRR5067285,2.1,training,Vietnam
SRR5073995,2.1,training,Vietnam
SRR5067475,2.1,training,Vietnam
SRR5065411,2.1,training,Vietnam
SRR5067554,2.1,training,Vietnam
SRR6152905,2.1,test,NA
SRR1710072,2.1,test,NA
SRR1710059,2.1,test,NA
DRR185119,2.1,test,NA
SRR1710058,2.1,test,NA
SRR1710060,2.1,test,NA
DRR184642,2.1,test,NA
ERR234216,2.1,test,NA
SRR1710070,2.1,test,NA
ERR551044,2.1,test,NA
SRR8237370,2.1,test,NA
ERR181316,2.1,test,NA
SRR6153099,2.1,test,NA
ERR2704676,2.1,test,NA
SRR1710066,2.1,test,NA
SRR1710061,2.1,test,NA
SRR6325456,2.1,test,NA
SRR1710062,2.1,test,NA
SRR8237298,2.1,test,NA
SRR8651652,2.1,test,NA
ERR234252,2.1,test,NA
SRR1710063,2.1,test,NA
SRR1710069,2.1,test,NA
SRR5709822,2.1,test,NA
ERR2503370,2.1,test,NA
ERR2446339,2.1,test,NA
ERR3275582,2.1,test,NA
SRR6152685,2.1,test,NA
SRR1710064,2.1,test,NA
ERR234248,2.1,test,NA
SRR6152853,2.1,test,NA
SRR5710021,2.1,test,NA
SRR1710065,2.1,test,NA
SRR8237361,2.1,test,NA
SRR1710067,2.1,test,NA
SRR1710068,2.1,test,NA
SRR7517776,2.1,test,NA
ERR3275732,2.1,test,NA
SRR5709798,2.1,test,NA
SRR1710057,2.1,test,NA
SRR1710071,2.1,test,NA
ERR502912,2.2,test,NA
ERR2514121,3,training,United Kingdom
ERR2514707,3,training,United Kingdom
ERR550978,3,training,NA
ERR2517625,3,training,Netherlands
ERR2513473,3,training,United Kingdom
SRR3675535,3,training,United Kingdom
SRR2100827,3,training,NA
ERR2513685,3,training,United Kingdom
SRR2100044,3,training,NA
ERR038743,3,training,Uganda
ERR040139,3,training,Uganda
ERR2514038,3,training,United Kingdom
ERR2514305,3,training,United Kingdom
ERR040140,3,training,Uganda
ERR040129,3,training,Uganda
ERR040118,3,training,Uganda
ERR040136,3,training,Uganda
ERR2514456,3,training,United Kingdom
ERR718224,3,training,Thailand
ERR752276,3,training,Thailand
ERR2512556,3,training,United Kingdom
SRR2101350,3,training,NA
ERR2514779,3,training,United Kingdom
SRR2100697,3,training,NA
ERR2514279,3,training,United Kingdom
SRR2100980,3,training,NA
SRR2101190,3,training,NA
SRR6046512,3,training,United Kingdom
ERR2513508,3,training,United Kingdom
SRR6046358,3,training,United Kingdom
ERR2513634,3,training,United Kingdom
ERR2512685,3,training,United Kingdom
ERR072023,3,training,United States
ERR072024,3,training,United States
SRR2100314,3,training,NA
SRR2100988,3,training,NA
ERR2510417,3,training,Pakistan
ERR2510537,3,training,Pakistan
ERR2512899,3,training,United Kingdom
SRR2100761,3,training,NA
ERR2512629,3,training,United Kingdom
ERR2513748,3,training,United Kingdom
SRR3675530,3,training,United Kingdom
ERR550746,3,training,NA
ERR2516827,3,training,United Kingdom
ERR2512463,3,training,United Kingdom
ERR2513952,3,training,United Kingdom
ERR046846,3,training,United States
ERR046895,3,training,United States
ERR2514184,3,training,United Kingdom
ERR2510511,3,training,Pakistan
SRR2100955,3,training,NA
ERR2515048,3,training,United Kingdom
SRR6046415,3,training,United Kingdom
ERR1035152,3,training,Saudi Arabia
SRR6044981,3,training,United Kingdom
SRR6046290,3,training,United Kingdom
ERR1213833,3,training,South Korea
ERR2513321,3,training,United Kingdom
SRR2101189,3,training,NA
ERR2513219,3,training,United Kingdom
ERR2512823,3,training,United Kingdom
ERR2510341,3,training,Pakistan
SRR2100782,3,training,NA
SRR6339642,3,training,Australia_
ERR046882,3,training,United States
ERR2514934,3,training,United Kingdom
ERR2516210,3,training,Belgium
ERR2516549,3,training,Netherlands
ERR400402,3,training,United Kingdom
ERR2513019,3,training,United Kingdom
ERR1034594,3,training,Pakistan
SRR2100585,3,training,NA
SRR2100337,3,training,NA
ERR2512651,3,training,United Kingdom
SRR2100154,3,training,NA
ERR2513448,3,training,United Kingdom
ERR2513728,3,training,United Kingdom
ERR400549,3,training,United Kingdom
ERR1034576,3,training,Pakistan
ERR2510308,3,training,Pakistan
SRR2101528,3,training,NA
SRR2100676,3,training,NA
ERR2514873,3,training,United Kingdom
ERR552264,3,training,NA
SRR2100235,3,training,NA
SRR2100986,3,training,NA
ERR2510566,3,training,Pakistan
SRR2100229,3,training,NA
ERR2199961,3,training,Germany
ERR2510525,3,training,Pakistan
ERR2510319,3,training,Pakistan
ERR2510569,3,training,Pakistan
ERR2512816,3,training,United Kingdom
SRR3675579,3,training,United Kingdom
ERR2513414,3,training,United Kingdom
ERR2513207,3,training,United Kingdom
ERR2513767,3,training,United Kingdom
SRR2100225,3,training,NA
SRR6045165,3,training,United Kingdom
ERR2510354,3,training,Pakistan
SRR2100510,3,training,NA
ERR2514653,3,training,United Kingdom
SRR6045482,3,training,United Kingdom
ERR1034579,3,training,Pakistan
ERR2514468,3,training,United Kingdom
ERR2510425,3,training,Pakistan
ERR1213946,3,training,Bangladesh
ERR2513872,3,training,United Kingdom
ERR2513954,3,training,United Kingdom
SRR2100216,3,training,NA
ERR2513271,3,training,United Kingdom
ERR2513112,3,training,United Kingdom
ERR2512749,3,training,United Kingdom
ERR2512789,3,training,United Kingdom
ERR2514876,3,training,United Kingdom
ERR2512622,3,training,United Kingdom
ERR2513761,3,training,United Kingdom
SRR2101165,3,training,NA
ERR2510518,3,training,Pakistan
ERR2512418,3,training,United Kingdom
ERR2516809,3,training,United Kingdom
ERR2513601,3,training,United Kingdom
SRR2100885,3,training,NA
ERR2514348,3,training,United Kingdom
ERR2512790,3,training,United Kingdom
ERR2513893,3,training,United Kingdom
ERR2510423,3,training,Pakistan
ERR2512811,3,training,United Kingdom
ERR2514361,3,training,United Kingdom
ERR552449,3,training,NA
ERR2517255,3,training,Netherlands
ERR553349,3,training,NA
SRR2100860,3,training,NA
ERR2510575,3,training,Pakistan
ERR2510601,3,training,Pakistan
ERR2510334,3,training,Pakistan
ERR2512729,3,training,United Kingdom
ERR2512408,3,training,United Kingdom
SRR6045726,3,training,United Kingdom
ERR2510326,3,training,Pakistan
ERR2510399,3,training,Pakistan
ERR2516747,3,training,United Kingdom
ERR400406,3,training,United Kingdom
ERR2512461,3,training,United Kingdom
ERR2515008,3,training,United Kingdom
SRR6046827,3,training,United Kingdom
SRR6046626,3,training,United Kingdom
ERR2512594,3,training,United Kingdom
SRR6045097,3,training,United Kingdom
ERR1034595,3,training,Pakistan
ERR2513048,3,training,United Kingdom
SRR671741,3,training,China
ERR2513940,3,training,United Kingdom
SRR2100710,3,training,NA
ERR2516800,3,training,United Kingdom
SRR2100021,3,training,NA
ERR2510487,3,training,Pakistan
ERR2513856,3,training,United Kingdom
SRR6046864,3,training,United Kingdom
ERR2513645,3,training,United Kingdom
ERR2513925,3,training,United Kingdom
SRR2100780,3,training,NA
ERR2510274,3,training,Pakistan
ERR2510521,3,training,Pakistan
SRR6046812,3,training,United Kingdom
ERR2514036,3,training,United Kingdom
SRR6045421,3,training,United Kingdom
ERR400370,3,training,United Kingdom
ERR1034617,3,training,Pakistan
ERR2510572,3,training,Pakistan
SRR2100115,3,training,NA
SRR2100928,3,training,NA
SRR2101180,3,training,NA
ERR2512772,3,training,United Kingdom
ERR2513867,3,training,United Kingdom
ERR2513492,3,training,United Kingdom
SRR2100960,3,training,NA
ERR2514717,3,training,United Kingdom
ERR2513800,3,training,United Kingdom
SRR3675454,3,training,United Kingdom
ERR2513201,3,training,United Kingdom
ERR2513949,3,training,United Kingdom
ERR2510380,3,training,Pakistan
ERR2510407,3,training,Pakistan
ERR2512398,3,training,United Kingdom
ERR2510271,3,training,Pakistan
SRR6045460,3,training,United Kingdom
ERR2513347,3,training,United Kingdom
SRR6044933,3,training,United Kingdom
SRR2100124,3,training,NA
ERR2510784,3,training,Italy
ERR2512417,3,training,United Kingdom
ERR2510386,3,training,Pakistan
ERR2510377,3,training,Pakistan
ERR2510457,3,training,Pakistan
ERR2510455,3,training,Pakistan
ERR2510627,3,training,Pakistan
ERR2514546,3,training,United Kingdom
ERR2513573,3,training,United Kingdom
ERR2513698,3,training,United Kingdom
SRR2100119,3,training,NA
ERR2510622,3,training,Pakistan
ERR2513024,3,training,United Kingdom
ERR2514678,3,training,United Kingdom
SRR2101182,3,training,NA
ERR2510248,3,training,Pakistan
ERR552233,3,training,NA
SRR2101079,3,training,NA
SRR2100108,3,training,NA
ERR400505,3,training,United Kingdom
SRR2100450,3,training,NA
SRR6045673,3,training,United Kingdom
SRR6045781,3,training,United Kingdom
ERR2514213,3,training,United Kingdom
ERR2514261,3,training,United Kingdom
SRR2100111,3,training,NA
SRR2100116,3,training,NA
SRR2100126,3,training,NA
ERR2516271,3,training,Belgium
SRR1172861_SRR1175105,3,training,India
SRR1173367_SRR1173105,3,training,India
SRR1173727_SRR1173686,3,training,India
SRR1175151_SRR1172938,3,training,India
ERR2510547,3,training,Pakistan
ERR2510645,3,training,Pakistan
ERR2513567,3,training,United Kingdom
ERR2514271,3,training,United Kingdom
ERR2514830,3,training,United Kingdom
SRR2100121,3,training,NA
SRR2100125,3,training,NA
ERR2510559,3,training,Pakistan
